epoch,accuracy,loss,mean_absolute_error,mean_absolute_percentage_error,val_accuracy,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.8362199068069458,0.4375077188014984,0.24962018430233002,115660224.0,0.9797297120094299,0.0891694501042366,0.07639365643262863,58559212.0
1,0.9604668617248535,0.13167327642440796,0.09564315527677536,38625064.0,0.9966216087341309,0.02461114153265953,0.02229430340230465,388106.09375
2,0.9585843086242676,0.13326340913772583,0.08465132117271423,31484946.0,1.0,0.008759810589253902,0.008206270635128021,1801717.0
3,0.9838102459907532,0.057035911828279495,0.04126523435115814,13563867.0,1.0,0.005047914106398821,0.004697820637375116,2824336.25
4,0.9796686768531799,0.061845142394304276,0.03984972834587097,14838502.0,0.9966216087341309,0.0036554457619786263,0.0027068820782005787,66371.2890625
5,0.9766566157341003,0.07618438452482224,0.03833930939435959,14734644.0,1.0,0.0009535715216770768,0.0009000400314107537,298629.78125
6,0.9766566157341003,0.06155566871166229,0.03562545031309128,15227020.0,0.9695945978164673,0.07060698419809341,0.04007766395807266,40013248.0
7,0.9871987700462341,0.03497692942619324,0.023541808128356934,10021354.0,0.9966216087341309,0.008395874872803688,0.0067907595075666904,6708177.5
8,0.9902108311653137,0.027246443554759026,0.017373835667967796,7932463.0,1.0,0.001047333236783743,0.0010141945676878095,788544.0625
9,0.9917168617248535,0.023385709151625633,0.016100402921438217,4954566.0,1.0,0.0019156786147505045,0.0014705880312249064,2579.33203125
