epoch,accuracy,loss,mean_absolute_error,mean_absolute_percentage_error,val_accuracy,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.5717576742172241,0.6735460758209229,0.477892130613327,231526704.0,0.7474120259284973,0.6048439145088196,0.4488507807254791,238919696.0
1,0.6979958415031433,0.5534010529518127,0.39010536670684814,187755280.0,0.6563146710395813,0.5778756141662598,0.408942312002182,269947904.0
2,0.7740151882171631,0.44665753841400146,0.31178799271583557,149456576.0,0.9482401609420776,0.20452281832695007,0.1675034761428833,89783288.0
3,0.8143284916877747,0.39302805066108704,0.2675875723361969,127341912.0,0.5507246255874634,0.7570077180862427,0.39176854491233826,363441600.0
4,0.8477309346199036,0.32323920726776123,0.21494483947753906,106982504.0,0.9730848670005798,0.13059332966804504,0.1106109768152237,58878116.0
5,0.8597097396850586,0.275583952665329,0.18563039600849152,92534720.0,0.933747410774231,0.17099370062351227,0.12498359382152557,102344632.0
6,0.8698456287384033,0.2688547372817993,0.17571312189102173,88936296.0,0.9730848670005798,0.09325604885816574,0.07293013483285904,19530350.0
7,0.8785994052886963,0.24495403468608856,0.15926964581012726,80497736.0,0.977225661277771,0.073867067694664,0.05351191386580467,12551069.0
8,0.8864316940307617,0.23825383186340332,0.1537000983953476,75855400.0,0.9751552939414978,0.07214122265577316,0.05488640442490578,13030195.0
9,0.8834369778633118,0.22404596209526062,0.14525152742862701,71427320.0,0.9751552939414978,0.0701129212975502,0.051830362528562546,16172558.0
