epoch,accuracy,loss,mean_absolute_error,mean_absolute_percentage_error,val_accuracy,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.496648371219635,0.7088526487350464,0.4957030713558197,254341776.0,0.5136612057685852,0.6585494875907898,0.4815354347229004,248909648.0
1,0.5399146676063538,0.6749889254570007,0.4863945245742798,249994480.0,1.0,0.6512677073478699,0.47829926013946533,240647472.0
2,0.5563680529594421,0.6683236360549927,0.4813259541988373,247891872.0,1.0,0.5672272443771362,0.429526686668396,239516448.0
3,0.5673369765281677,0.6555199027061462,0.4720994830131531,246268992.0,1.0,0.5517431497573853,0.4198702573776245,238345216.0
4,0.5612431168556213,0.6560778021812439,0.4726420044898987,245256224.0,1.0,0.5165570378303528,0.3965522348880768,237642176.0
5,0.5545399188995361,0.6606098413467407,0.4759877026081085,244596304.0,1.0,0.49722445011138916,0.38339024782180786,236507696.0
6,0.5716027021408081,0.645427405834198,0.46535569429397583,243040736.0,1.0,0.503260612487793,0.38830408453941345,234747312.0
7,0.5709933042526245,0.6454924941062927,0.46453583240509033,241969872.0,1.0,0.4983016550540924,0.3852051794528961,233349888.0
8,0.5679463744163513,0.6461223363876343,0.4659463167190552,240302720.0,1.0,0.45119521021842957,0.3510662019252777,232239328.0
9,0.5667275786399841,0.6465208530426025,0.46616309881210327,239466832.0,1.0,0.44111496210098267,0.3436209261417389,231260832.0
